Values,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
0.0,244.287689,26.429075,6.006366,1.32768,0.384379,0.899303,0.753004,0.907212,1.780627,1.242297,2.436579,0.55867,0.464583,0.404243,0.294037,2.214298,5.400736,5.197,8.124141,4.251789,164.007004,19.6357,2.47488,1.051139,0.332528
0.0,327.911682,35.46204,7.957289,1.624704,0.389899,0.869879,0.86593,0.826143,2.014607,1.334101,2.360071,0.488539,0.482077,0.423749,0.326869,1.948466,5.548682,4.657568,7.885338,4.479798,220.823547,26.457361,3.061657,1.222342,0.352383
0.0,374.536163,40.546822,9.156356,1.862665,0.396277,0.883055,1.008996,0.771954,2.253498,1.434617,2.418858,0.44039,0.505238,0.479405,0.358948,1.733081,5.385511,4.107722,7.287784,4.875777,253.762848,30.445398,3.431315,1.371962,0.363065
0.0,367.934784,39.927364,9.186058,1.975864,0.409963,0.917952,1.134748,0.779704,2.42544,1.538461,2.540259,0.402635,0.533141,0.545134,0.394741,1.687734,4.940461,3.767875,6.479143,5.410882,251.551971,30.183798,3.437988,1.4563,0.373669
0.0,310.724518,33.935612,8.063384,1.955954,0.437003,0.967187,1.196939,0.877207,2.489534,1.647938,2.622505,0.364642,0.563292,0.598684,0.443799,1.830543,4.275249,3.776839,5.792354,6.042581,215.136703,25.819414,3.080096,1.475176,0.39935
0.0,222.480789,24.714321,6.194258,1.870202,0.481962,1.054121,1.161797,1.068538,2.465557,1.766217,2.627335,0.323683,0.594247,0.640092,0.516604,2.128324,3.481103,4.125073,5.530931,6.72178,156.892914,18.917143,2.478397,1.486431,0.455094
0.0,131.913391,15.249336,4.190989,1.808977,0.548858,1.223212,1.025707,1.320846,2.410682,1.889181,2.57031,0.286811,0.622419,0.690948,0.61455,2.411863,2.668525,4.627247,5.77274,7.378457,95.772301,11.711025,1.825202,1.558859,0.549859
0.0,61.617287,7.906533,2.580962,1.827598,0.639133,1.489524,0.826127,1.573864,2.371294,2.002103,2.512034,0.268802,0.647005,0.772554,0.724723,2.578864,1.962838,5.065102,6.385038,7.900463,47.079109,6.048762,1.294808,1.719771,0.681061
0.0,21.214792,3.624424,1.602962,1.912835,0.744542,1.827624,0.618759,1.764494,2.372069,2.077714,2.478055,0.282102,0.666408,0.889471,0.820723,2.634536,1.473768,5.306274,7.158522,8.15335,18.151196,2.699642,0.965094,1.926033,0.82869
0.0,5.967627,1.925604,1.191201,1.989719,0.846251,2.108759,0.45603,1.854403,2.415711,2.084734,2.420235,0.33052,0.67626,1.024861,0.871941,2.509134,1.229332,5.315478,7.973069,8.047562,6.497057,1.369346,0.836183,2.079696,0.960758
0.0,3.624458,1.555661,1.148178,1.974129,0.925255,2.253946,0.378509,1.827183,2.471587,2.005133,2.276085,0.412825,0.674096,1.144159,0.859155,2.209596,1.209814,5.157116,8.802919,7.642283,4.498953,1.21264,0.963951,2.088793,1.050114
0.0,4.592264,1.727913,1.309269,1.824201,0.969962,2.151728,0.398749,1.702603,2.505321,1.850633,2.061076,0.516842,0.656471,1.211218,0.785043,1.866047,1.394058,4.984624,9.652048,7.128537,5.951148,1.725209,1.428071,1.917448,1.085483
0.0,6.701138,2.206177,1.664671,1.559878,0.976859,1.84842,0.503126,1.518442,2.483272,1.662416,1.843106,0.623888,0.623385,1.205144,0.671822,1.54776,1.758529,4.922865,10.47576,6.714138,9.362282,2.672126,2.297771,1.599239,1.070466
0.0,10.340812,2.912503,2.168986,1.261605,0.949576,1.458594,0.667095,1.316596,2.389519,1.49668,1.708303,0.706738,0.582048,1.138893,0.551747,1.317342,2.234857,4.984448,11.117248,6.56478,14.499199,3.796814,3.441577,1.228025,1.017257
0.0,19.640814,3.97508,2.794141,1.0171,0.897183,1.13254,0.864608,1.121045,2.239176,1.395918,1.719168,0.749511,0.556589,1.060165,0.452813,1.179092,2.730747,5.091721,11.381117,6.746526,22.25762,4.861883,4.604914,0.905088,0.940356
0.0,42.816566,5.687,3.535455,0.905615,0.827169,1.032965,1.079615,0.941277,2.055095,1.361884,1.927321,0.799477,0.5747,1.034188,0.385192,1.133011,3.20083,5.132,11.161001,7.180498,36.570545,5.759608,5.485759,0.712155,0.848729
0.0,88.051834,8.191264,4.362754,0.982933,0.743076,1.192314,1.311683,0.785245,1.855069,1.364768,2.35299,0.952677,0.64269,1.118385,0.343812,1.189874,3.649138,5.048815,10.541696,7.694404,62.218018,6.48374,5.87475,0.702064,0.745523
0.0,153.287949,11.237349,5.166363,1.253578,0.646847,1.673581,1.563295,0.654522,1.646326,1.364355,2.999372,1.279606,0.747875,1.32884,0.316581,1.410077,4.083405,4.832786,9.795738,8.131133,98.627426,7.088068,5.72821,0.878383,0.632399
0.0,225.155655,14.1859,5.770254,1.66746,0.545634,2.387752,1.825057,0.551497,1.451787,1.340367,3.793799,1.774801,0.862646,1.627689,0.296725,1.843396,4.479163,4.516895,9.237459,8.385756,139.19455,7.627268,5.168294,1.200578,0.517947
0.0,282.76651,16.22118,6.002776,2.127774,0.454241,3.20483,2.073893,0.476985,1.319939,1.30663,4.611391,2.332655,0.949282,1.937505,0.283595,2.465867,4.754817,4.172565,9.057989,8.433614,172.419617,8.072819,4.415959,1.5936,0.418179
0.0,306.197815,16.680367,5.773573,2.506278,0.391613,3.912081,2.259724,0.432027,1.302036,1.300835,5.24908,2.771947,0.960239,2.167966,0.278791,3.107281,4.786416,3.829473,9.186961,8.328573,186.797058,8.311906,3.686158,1.95165,0.349842
0.0,286.362305,15.255113,5.097493,2.687326,0.37613,4.281976,2.332522,0.413277,1.421984,1.370378,5.542058,2.94532,0.884678,2.257408,0.283951,3.619436,4.469142,3.497388,9.289705,8.117901,175.955505,8.116088,3.091572,2.172109,0.325663
0.0,229.149536,12.25331,4.099726,2.62416,0.415141,4.193044,2.260243,0.421837,1.673065,1.538341,5.473249,2.793669,0.74328,2.19235,0.298901,3.872997,3.800842,3.273415,8.997866,7.796935,142.572235,7.321795,2.608505,2.20561,0.347293
