Values,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
0.0,11.441249,3.667406,1.7948,1.16198,1.214543,1.852439,2.612304,1.638223,1.306428,1.31562,4.575674,1.616379,1.339847,0.777649,1.108523,4.209504,1.976338,1.155303,1.182017,1.245568,14.387517,3.046122,2.106863,1.036066,1.066454
0.0,13.251549,3.818588,2.035868,1.192009,1.257374,1.655547,2.629056,1.931322,1.291395,1.327083,5.153472,1.628657,1.431201,0.783631,1.036616,5.026922,2.216463,1.242045,1.34447,1.226227,17.243927,3.067161,2.329743,1.10865,1.052031
0.0,14.036147,3.726821,2.188485,1.158461,1.238978,1.712406,2.502381,2.072584,1.278314,1.33357,5.613988,1.801594,1.759828,0.792619,0.957796,5.562661,2.322175,1.310008,1.465726,1.186324,18.529743,2.949165,2.432286,1.120484,1.014588
0.0,13.375102,3.435479,2.217757,1.084925,1.158316,2.074471,2.248951,2.016119,1.255621,1.326284,5.916363,2.03109,2.195387,0.836924,0.896784,5.730291,2.307691,1.370939,1.518929,1.139881,17.868977,2.761493,2.378448,1.088658,0.960641
0.0,11.880637,3.02994,2.116394,1.000785,1.042434,2.470673,1.936827,1.787311,1.205958,1.302514,6.032613,2.208586,2.57343,0.931445,0.874312,5.432169,2.192023,1.428717,1.48956,1.107224,15.732917,2.552793,2.170988,1.040556,0.904163
0.0,9.802306,2.624691,1.93428,0.925848,0.948056,2.890064,1.646789,1.472665,1.119274,1.273636,5.948344,2.258621,2.750869,1.05356,0.913812,4.920555,2.008849,1.483009,1.380676,1.113813,12.795618,2.369034,1.872687,0.995637,0.876325
0.0,7.929292,2.315694,1.732097,0.870827,0.942498,3.033612,1.425396,1.15712,0.999298,1.268002,5.633097,2.155471,2.640769,1.160038,1.041979,4.126195,1.809595,1.507916,1.212151,1.188588,9.855541,2.229635,1.561355,0.960847,0.921351
0.0,6.248999,2.153483,1.538193,0.851884,1.071123,2.951622,1.265682,0.890979,0.871449,1.316421,5.09389,1.925144,2.2747,1.217314,1.274615,3.367159,1.631238,1.474391,1.032344,1.347292,7.297529,2.133322,1.293052,0.942011,1.072781
0.0,5.081459,2.112171,1.350388,0.892363,1.32424,2.596519,1.127519,0.691789,0.77592,1.42414,4.411658,1.657745,1.798881,1.229119,1.589213,2.528516,1.477,1.375883,0.904129,1.571626,5.337287,2.062272,1.091838,0.951733,1.322503
0.0,4.298816,2.111414,1.16509,1.006356,1.636437,2.164478,0.98525,0.550818,0.74149,1.562886,3.763906,1.477492,1.381866,1.23841,1.917615,1.812276,1.341078,1.229985,0.87173,1.808525,3.889963,1.974822,0.959297,1.004334,1.615562
0.0,3.796248,2.086757,0.991461,1.185922,1.919193,1.791153,0.857272,0.444311,0.774882,1.68813,3.279207,1.469221,1.125766,1.298442,2.166985,1.209905,1.224646,1.072116,0.949763,1.998841,2.897963,1.852303,0.879971,1.104999,1.872807
0.0,3.598816,2.023655,0.845096,1.394419,2.099449,1.830319,0.776341,0.366482,0.864143,1.76078,2.947326,1.629309,1.024595,1.429713,2.260516,0.854741,1.13645,0.930206,1.122499,2.103504,2.477268,1.720955,0.835926,1.237521,2.02414
0.0,3.627542,1.927049,0.774976,1.584951,2.144017,2.537262,0.786072,0.338818,0.980992,1.758371,2.694181,1.858925,1.016864,1.607679,2.174735,0.753979,1.074934,0.841942,1.343624,2.10815,2.605521,1.617489,0.856682,1.370367,2.035414
0.0,3.649488,1.785105,0.817149,1.713601,2.061075,3.899312,0.91701,0.380178,1.089309,1.682482,2.420621,2.030273,1.048414,1.772294,1.9473,0.86714,1.033835,0.8324,1.546399,2.020768,2.952342,1.550365,0.984117,1.467285,1.916996
0.0,3.569025,1.608299,0.986336,1.768858,1.895542,5.487697,1.153887,0.486791,1.163049,1.55556,2.086652,2.06589,1.122513,1.860772,1.659424,1.093302,1.004445,0.907913,1.664028,1.873363,3.238832,1.502352,1.244741,1.510541,1.718498
0.0,3.400256,1.429418,1.246063,1.78013,1.706773,6.811623,1.425151,0.624179,1.192153,1.40728,1.746801,1.983996,1.250868,1.84163,1.396959,1.424185,0.976912,1.042556,1.663245,1.708932,3.368117,1.443528,1.594506,1.517071,1.503761
0.0,3.195948,1.323582,1.514655,1.793408,1.54332,7.251487,1.646182,0.741748,1.179986,1.262572,1.520281,1.887004,1.408023,1.726976,1.210879,1.786248,0.946758,1.18934,1.555428,1.563237,3.285251,1.379293,1.925994,1.525961,1.321611
0.0,3.018791,1.347074,1.709932,1.83518,1.426463,6.758781,1.750217,0.800052,1.137345,1.137314,1.575881,1.883101,1.547656,1.559174,1.103518,2.138381,0.904168,1.295429,1.383802,1.455011,3.135056,1.318372,2.119235,1.562657,1.190225
0.0,2.91955,1.502371,1.778865,1.890807,1.347359,5.444443,1.713296,0.780524,1.079094,1.03871,1.965441,2.007506,1.623921,1.38484,1.042621,2.433103,0.859732,1.313591,1.198097,1.383319,3.000953,1.282448,2.097192,1.615139,1.099225
0.0,2.912657,1.729591,1.719798,1.914949,1.282774,3.831457,1.554165,0.691239,1.018221,0.970308,2.516242,2.195843,1.605803,1.233155,0.993205,2.570484,0.835027,1.233117,1.044205,1.335072,2.98666,1.28445,1.872347,1.641604,1.02843
0.0,2.946895,1.935251,1.573824,1.860988,1.217613,2.50702,1.317192,0.560314,0.964161,0.937083,3.122094,2.324144,1.494886,1.109179,0.946812,2.6252,0.850722,1.093203,0.94705,1.29936,3.117678,1.308508,1.541827,1.596504,0.969337
0.0,3.19129,2.110912,1.384475,1.708747,1.150194,1.840323,1.064545,0.421355,0.916932,0.93836,3.552843,2.308738,1.319723,1.003297,0.916379,2.582304,0.914113,0.94418,0.906428,1.268348,3.461853,1.363108,1.21497,1.456908,0.924237
0.0,4.563488,2.366321,1.199751,1.477745,1.086309,1.895357,0.855979,0.307204,0.873077,0.958706,3.754905,2.175898,1.125427,0.902102,0.917201,2.514702,1.009115,0.83846,0.90577,1.234088,4.429278,1.497462,0.969222,1.235925,0.895501
0.0,8.580109,2.774545,1.044804,1.228544,1.034974,2.377954,0.729845,0.229933,0.831111,0.974014,3.618628,2.045775,0.942174,0.812665,0.951366,2.347877,1.109473,0.789494,0.927622,1.194741,6.726077,1.719996,0.820524,0.983172,0.881511
0.0,16.203089,3.343865,0.921504,1.042411,1.005994,3.107292,0.677694,0.185992,0.796585,0.972958,3.396974,2.022412,0.799387,0.7649,1.007224,2.199092,1.195077,0.777667,0.986057,1.161937,10.797139,2.015616,0.735616,0.77079,0.879284
0.0,26.867985,4.04079,0.827595,0.979607,1.003298,3.575536,0.674224,0.170609,0.789115,0.967218,3.099566,2.124229,0.744004,0.792865,1.068384,2.015255,1.240065,0.771894,1.129986,1.157343,16.298809,2.36954,0.672647,0.662256,0.885841
0.0,38.266586,4.733952,0.768553,1.045491,1.020086,3.847858,0.698678,0.187414,0.826923,0.977444,2.866876,2.289252,0.824137,0.905676,1.120628,1.827194,1.230716,0.751315,1.399494,1.197116,22.009167,2.733957,0.615188,0.680772,0.899828
0.0,47.300278,5.237189,0.742571,1.20471,1.04588,3.832016,0.727266,0.249605,0.905697,1.018244,2.661339,2.402404,1.039736,1.077888,1.15698,1.615052,1.154148,0.708938,1.781358,1.280059,26.152285,3.016531,0.563337,0.809988,0.925022
0.0,51.681606,5.442317,0.732292,1.408505,1.076313,3.634515,0.746045,0.367786,0.995435,1.089935,2.516358,2.38648,1.316481,1.261763,1.176968,1.432015,1.031691,0.644028,2.198057,1.391471,27.395884,3.144095,0.513634,1.007399,0.969958
0.0,50.613255,5.307608,0.710808,1.610638,1.112718,3.276148,0.745964,0.549431,1.065578,1.176491,2.392928,2.245151,1.547979,1.405767,1.18508,1.309725,0.891384,0.569593,2.541899,1.509707,25.41851,3.054945,0.45944,1.22208,1.041261
0.0,45.136753,4.915286,0.671827,1.777354,1.157996,2.882734,0.72361,0.793035,1.089322,1.257426,2.337902,2.041493,1.643833,1.478126,1.193407,1.270369,0.781387,0.506663,2.71799,1.615236,20.955618,2.800339,0.407329,1.410623,1.140092
