Values,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
0.0,112.73877,242.692154,180.766144,197.205048,217.070236,184.085403,236.595978,185.272659,133.265991,162.837006,200.641983,238.200302,95.110428,139.455856,158.538208,87.029137,28.706095,27.785843,25.529358,8.309819,138.523239,205.807312,95.039177,257.64389,170.604187
0.0,101.891602,238.005035,195.100571,206.676376,230.898849,151.350418,228.382294,239.787216,147.612732,167.126938,176.98172,220.345535,92.511269,138.574448,178.382736,65.31234,25.103809,27.942785,25.935543,9.73175,145.541046,217.901764,117.13044,292.245239,190.300629
0.0,90.06456,232.792725,229.833176,214.618698,249.413071,117.301727,213.533127,302.334808,154.140564,177.886581,148.178574,198.647293,93.336357,134.523773,202.777054,45.600586,20.365709,25.79764,27.049612,11.39386,161.286652,225.911407,143.631363,308.528107,216.504669
0.0,81.119049,221.133698,280.181519,220.085938,270.876984,91.832428,195.615204,354.383057,150.878769,193.101013,118.306267,176.142914,92.20591,129.845184,225.752686,31.372881,16.179466,21.737768,29.030132,12.811967,177.907913,232.877304,169.779739,302.933105,239.447479
0.0,77.941948,201.342239,332.911957,225.158142,292.757233,80.547424,179.492966,378.06076,139.820358,209.542023,91.854225,153.65834,86.35202,129.867111,241.746124,22.473555,13.401416,16.774645,31.97102,13.525122,188.672501,239.285767,189.841858,280.019318,251.977081
0.0,81.221939,177.309189,372.352844,233.031174,312.384277,83.951866,167.191772,363.626404,126.724068,224.696381,73.164909,131.594879,75.121262,140.645721,248.031326,17.691648,11.884456,12.014548,35.893818,13.362423,190.459366,242.393387,198.191269,251.377258,252.084747
0.0,88.202797,154.02037,385.425446,245.110352,326.992798,97.666985,158.180893,314.746307,118.172798,237.282928,64.261627,110.608063,61.306686,164.822784,244.915955,14.796832,10.878929,8.479768,40.620087,12.462937,184.339127,237.966873,192.577911,230.653015,243.186203
0.0,94.109451,132.655869,363.962494,260.339905,333.334259,114.257751,149.656494,245.433243,119.659622,246.818649,63.491848,91.642899,49.276901,199.791733,234.856125,12.863956,9.686702,6.999894,45.725433,11.19583,173.463913,224.031769,174.766876,225.876175,230.736298
0.0,95.610939,112.771492,309.864136,273.925446,329.635468,126.371262,137.907547,174.994553,131.972992,252.606567,66.561356,75.476425,42.914551,239.623489,220.497345,11.631555,8.216046,7.649385,50.446732,9.956935,161.110947,202.085999,148.937927,235.572647,219.538971
0.0,89.744392,93.115181,234.655182,280.190338,317.058533,128.40062,119.653862,119.421013,151.87944,254.479904,69.227676,62.154095,44.201,278.328827,204.225418,11.295534,6.758325,9.724461,53.880615,9.03897,148.299072,175.718185,120.402321,250.208313,212.771423
0.0,77.638489,74.043236,156.110031,276.497131,299.691956,118.185226,95.095055,86.336578,173.796463,253.562439,68.366386,51.081482,52.925331,311.29007,187.94632,11.460336,5.629269,12.281005,55.319435,8.517814,133.416565,150.747223,94.418716,258.301147,212.404129
0.0,63.217449,59.275188,90.797493,263.831512,283.821808,98.945366,68.740173,74.352409,191.342819,251.250092,64.039528,42.181385,66.4254,334.110352,172.810028,11.380311,4.973846,14.294221,54.438103,8.270116,113.373405,132.837631,74.461479,253.539719,219.261642
0.0,52.363117,52.910328,50.332634,246.461502,275.772522,78.507462,46.862423,76.394402,201.214172,248.142883,59.351418,36.496208,81.428375,342.615723,159.629211,10.97394,4.824689,15.209852,51.524967,8.087933,91.152618,125.777245,61.667999,236.110306,232.407776
0.0,50.579967,54.870083,36.981865,229.011414,278.952301,66.883644,34.758125,84.38385,203.338516,243.590759,57.95293,35.611801,94.726486,334.171448,149.073883,10.157945,5.140109,14.856853,47.575829,7.847915,75.240562,129.813278,53.298801,211.206116,248.785629
0.0,59.655956,61.331249,43.713379,214.646774,291.171814,69.893677,32.965054,91.542999,198.723007,235.561478,61.292587,39.197449,104.597176,310.332947,141.322571,9.302413,5.777753,13.597963,43.892467,7.501816,72.590576,139.80127,45.872459,187.065872,263.270874
0.0,76.302856,68.250732,61.342087,205.698822,305.3992,86.17466,38.714672,95.682823,189.871964,221.490631,67.367714,45.58395,111.975891,277.488068,135.525665,8.240154,6.436108,12.177627,41.662418,7.090353,84.321884,147.889008,38.626358,171.669922,270.367035
0.0,93.853584,73.503792,83.727425,205.229507,313.939941,109.025352,48.46225,98.881699,180.262573,200.625671,72.148842,52.78722,119.805145,244.066071,129.956192,7.373066,6.806613,11.255808,41.349724,6.722453,106.018013,148.294449,34.083298,169.889359,267.109467
0.0,107.253777,76.999298,108.233963,217.868591,311.647858,131.403641,59.173229,105.181458,173.029419,175.330246,72.749382,61.110691,130.866333,217.362213,123.302307,6.505614,6.700381,11.128583,42.458504,6.490376,130.603973,140.943176,35.98394,183.911041,255.222321
